start,size,total_stores,zero_values,max_value,min_value,stack_trace
0x5a99f10,2213376,92224,0,67.11700562,-57.44253344,==319==    at 0x483E743: operator new[](unsigned long) (vg_replace_malloc.c:729) ==319==    by 0x21CFC1: ResultSet::ResultSet(int) (ResultSet.h:24) ==319==    by 0x10A84E: main (spec_namd.C:153)
0x5d9f040,2213376,92224,92224,0,0,==319==    at 0x483E743: operator new[](unsigned long) (vg_replace_malloc.c:729) ==319==    by 0x21D0C8: ResultSet::ResultSet(int) (ResultSet.h:25) ==319==    by 0x10A84E: main (spec_namd.C:153)
0x619f040,2213376,92224,0,67.11700562,-57.44253344,==319==    at 0x483E743: operator new[](unsigned long) (vg_replace_malloc.c:729) ==319==    by 0x21CFC1: ResultSet::ResultSet(int) (ResultSet.h:24) ==319==    by 0x10A863: main (spec_namd.C:154)
0x659f040,2213376,92224,34,5.009670122,-3.210398759,==319==    at 0x483E743: operator new[](unsigned long) (vg_replace_malloc.c:729) ==319==    by 0x21D0C8: ResultSet::ResultSet(int) (ResultSet.h:25) ==319==    by 0x10A863: main (spec_namd.C:154)
0x699f040,2213376,92224,92224,0,0,==319==    at 0x483E743: operator new[](unsigned long) (vg_replace_malloc.c:729) ==319==    by 0x21CFC1: ResultSet::ResultSet(int) (ResultSet.h:24) ==319==    by 0x10A87F: main (spec_namd.C:155)
0x6d9f040,2213376,92224,0,66.32501025,-58.12359555,==319==    at 0x483E743: operator new[](unsigned long) (vg_replace_malloc.c:729) ==319==    by 0x21D0C8: ResultSet::ResultSet(int) (ResultSet.h:25) ==319==    by 0x10A87F: main (spec_namd.C:155)
0x719f040,2213376,92224,0,67.11700562,-57.44253344,==319==    at 0x483E743: operator new[](unsigned long) (vg_replace_malloc.c:729) ==319==    by 0x21CFC1: ResultSet::ResultSet(int) (ResultSet.h:24) ==319==    by 0x10A89B: main (spec_namd.C:156)
0x759f040,2213376,92224,92224,0,0,==319==    at 0x483E743: operator new[](unsigned long) (vg_replace_malloc.c:729) ==319==    by 0x21D0C8: ResultSet::ResultSet(int) (ResultSet.h:25) ==319==    by 0x10A89B: main (spec_namd.C:156)
0x799f040,2213376,92224,0,67.11700562,-57.44253344,==319==    at 0x483E743: operator new[](unsigned long) (vg_replace_malloc.c:729) ==319==    by 0x21CFC1: ResultSet::ResultSet(int) (ResultSet.h:24) ==319==    by 0x10A8B7: main (spec_namd.C:157)
0x7d9f040,2213376,92224,34,5.009670122,-3.210398759,==319==    at 0x483E743: operator new[](unsigned long) (vg_replace_malloc.c:729) ==319==    by 0x21D0C8: ResultSet::ResultSet(int) (ResultSet.h:25) ==319==    by 0x10A8B7: main (spec_namd.C:157)
0x819f040,2213376,92224,92224,0,0,==319==    at 0x483E743: operator new[](unsigned long) (vg_replace_malloc.c:729) ==319==    by 0x21CFC1: ResultSet::ResultSet(int) (ResultSet.h:24) ==319==    by 0x10A8D3: main (spec_namd.C:158)
0x859f040,2213376,92224,0,66.32501025,-58.12359555,==319==    at 0x483E743: operator new[](unsigned long) (vg_replace_malloc.c:729) ==319==    by 0x21D0C8: ResultSet::ResultSet(int) (ResultSet.h:25) ==319==    by 0x10A8D3: main (spec_namd.C:158)
0x4e426d0,1475584,368896,12,nan,nan,==319==    at 0x483E743: operator new[](unsigned long) (vg_replace_malloc.c:729) ==319==    by 0x218E56: Molecule::readfile(_IO_FILE*) (Molecule.C:54) ==319==    by 0x10A776: main (spec_namd.C:88)
0x9d9f040,480194,385,0,3.23786e-319,5e-324,==319==    at 0x483E743: operator new[](unsigned long) (vg_replace_malloc.c:729) ==319==    by 0x1D8FF3: newlist (ComputeNonbondedUtil.h:51) ==319==    by 0x1D8FF3: ComputeNonbondedUtil::calc_self_energy(nonbonded*) (ComputeNonbondedBase.h:1099) ==319==    by 0x10B7C5: SelfCompute::doWork(PatchList*) (Compute.C:61) ==319==    by 0x10CAF8: ComputeList::runComputes(PatchList*) (ComputeList.C:72) ==319==    by 0x10AA13: main (spec_namd.C:189)
0x5069b40,375400,33067,784,8.07E+18,-7.08E+21,"==319==    at 0x483E743: operator new[](unsigned long) (vg_replace_malloc.c:729) ==319==    by 0x216F63: ComputeNonbondedUtil::select(SimParameters*, Molecule*, LJTable*) (ComputeNonbondedUtil.C:556) ==319==    by 0x10A797: main (spec_namd.C:93)"
0x4de8590,368896,92224,418,3.8e-322,0,==319==    at 0x483E743: operator new[](unsigned long) (vg_replace_malloc.c:729) ==319==    by 0x218E31: Molecule::readfile(_IO_FILE*) (Molecule.C:53) ==319==    by 0x10A776: main (spec_namd.C:88)
0x5cfa9a0,320130,15073,0,3.23786e-319,5e-324,==319==    at 0x483E743: operator new[](unsigned long) (vg_replace_malloc.c:729) ==319==    by 0x1D8FF3: newlist (ComputeNonbondedUtil.h:51) ==319==    by 0x1D8FF3: ComputeNonbondedUtil::calc_self_energy(nonbonded*) (ComputeNonbondedBase.h:1099) ==319==    by 0x10B7C5: SelfCompute::doWork(PatchList*) (Compute.C:61) ==319==    by 0x10CAF8: ComputeList::runComputes(PatchList*) (ComputeList.C:72) ==319==    by 0x10AA13: main (spec_namd.C:189)
0x6083730,320130,10229,0,3.23786e-319,5e-324,==319==    at 0x483E743: operator new[](unsigned long) (vg_replace_malloc.c:729) ==319==    by 0x1D8FF3: newlist (ComputeNonbondedUtil.h:51) ==319==    by 0x1D8FF3: ComputeNonbondedUtil::calc_self_energy(nonbonded*) (ComputeNonbondedBase.h:1099) ==319==    by 0x10B7C5: SelfCompute::doWork(PatchList*) (Compute.C:61) ==319==    by 0x10CAF8: ComputeList::runComputes(PatchList*) (ComputeList.C:72) ==319==    by 0x10AA13: main (spec_namd.C:189)
0x60f1530,320130,10446,0,3.23786e-319,5e-324,==319==    at 0x483E743: operator new[](unsigned long) (vg_replace_malloc.c:729) ==319==    by 0x1D8FF3: newlist (ComputeNonbondedUtil.h:51) ==319==    by 0x1D8FF3: ComputeNonbondedUtil::calc_self_energy(nonbonded*) (ComputeNonbondedBase.h:1099) ==319==    by 0x10B7C5: SelfCompute::doWork(PatchList*) (Compute.C:61) ==319==    by 0x10CAF8: ComputeList::runComputes(PatchList*) (ComputeList.C:72) ==319==    by 0x10AA13: main (spec_namd.C:189)
0x63bb680,320130,21928,0,3.23786e-319,5e-324,==319==    at 0x483E743: operator new[](unsigned long) (vg_replace_malloc.c:729) ==319==    by 0x1D8FF3: newlist (ComputeNonbondedUtil.h:51) ==319==    by 0x1D8FF3: ComputeNonbondedUtil::calc_self_energy(nonbonded*) (ComputeNonbondedBase.h:1099) ==319==    by 0x10B7C5: SelfCompute::doWork(PatchList*) (Compute.C:61) ==319==    by 0x10CAF8: ComputeList::runComputes(PatchList*) (ComputeList.C:72) ==319==    by 0x10AA13: main (spec_namd.C:189)
0x654b3d0,320130,25203,0,3.23786e-319,5e-324,==319==    at 0x483E743: operator new[](unsigned long) (vg_replace_malloc.c:729) ==319==    by 0x1D8FF3: newlist (ComputeNonbondedUtil.h:51) ==319==    by 0x1D8FF3: ComputeNonbondedUtil::calc_self_energy(nonbonded*) (ComputeNonbondedBase.h:1099) ==319==    by 0x10B7C5: SelfCompute::doWork(PatchList*) (Compute.C:61) ==319==    by 0x10CAF8: ComputeList::runComputes(PatchList*) (ComputeList.C:72) ==319==    by 0x10AA13: main (spec_namd.C:189)
0x67bb680,320130,19324,0,3.23786e-319,5e-324,==319==    at 0x483E743: operator new[](unsigned long) (vg_replace_malloc.c:729) ==319==    by 0x1D8FF3: newlist (ComputeNonbondedUtil.h:51) ==319==    by 0x1D8FF3: ComputeNonbondedUtil::calc_self_energy(nonbonded*) (ComputeNonbondedBase.h:1099) ==319==    by 0x10B7C5: SelfCompute::doWork(PatchList*) (Compute.C:61) ==319==    by 0x10CAF8: ComputeList::runComputes(PatchList*) (ComputeList.C:72) ==319==    by 0x10AA13: main (spec_namd.C:189)
0x6891090,320130,21401,0,3.23786e-319,5e-324,==319==    at 0x483E743: operator new[](unsigned long) (vg_replace_malloc.c:729) ==319==    by 0x1D8FF3: newlist (ComputeNonbondedUtil.h:51) ==319==    by 0x1D8FF3: ComputeNonbondedUtil::calc_self_energy(nonbonded*) (ComputeNonbondedBase.h:1099) ==319==    by 0x10B7C5: SelfCompute::doWork(PatchList*) (Compute.C:61) ==319==    by 0x10CAF8: ComputeList::runComputes(PatchList*) (ComputeList.C:72) ==319==    by 0x10AA13: main (spec_namd.C:189)
0x6c53220,320130,11899,0,3.23786e-319,5e-324,==319==    at 0x483E743: operator new[](unsigned long) (vg_replace_malloc.c:729) ==319==    by 0x1D8FF3: newlist (ComputeNonbondedUtil.h:51) ==319==    by 0x1D8FF3: ComputeNonbondedUtil::calc_self_energy(nonbonded*) (ComputeNonbondedBase.h:1099) ==319==    by 0x10B7C5: SelfCompute::doWork(PatchList*) (Compute.C:61) ==319==    by 0x10CAF8: ComputeList::runComputes(PatchList*) (ComputeList.C:72) ==319==    by 0x10AA13: main (spec_namd.C:189)
0x6cded60,320130,14251,0,3.23786e-319,5e-324,==319==    at 0x483E743: operator new[](unsigned long) (vg_replace_malloc.c:729) ==319==    by 0x1D8FF3: newlist (ComputeNonbondedUtil.h:51) ==319==    by 0x1D8FF3: ComputeNonbondedUtil::calc_self_energy(nonbonded*) (ComputeNonbondedBase.h:1099) ==319==    by 0x10B7C5: SelfCompute::doWork(PatchList*) (Compute.C:61) ==319==    by 0x10CAF8: ComputeList::runComputes(PatchList*) (ComputeList.C:72) ==319==    by 0x10AA13: main (spec_namd.C:189)
0x6ff7900,320130,17248,0,3.23786e-319,5e-324,==319==    at 0x483E743: operator new[](unsigned long) (vg_replace_malloc.c:729) ==319==    by 0x1D8FF3: newlist (ComputeNonbondedUtil.h:51) ==319==    by 0x1D8FF3: ComputeNonbondedUtil::calc_self_energy(nonbonded*) (ComputeNonbondedBase.h:1099) ==319==    by 0x10B7C5: SelfCompute::doWork(PatchList*) (Compute.C:61) ==319==    by 0x10CAF8: ComputeList::runComputes(PatchList*) (ComputeList.C:72) ==319==    by 0x10AA13: main (spec_namd.C:189)
0x7077f30,320130,12067,0,3.23786e-319,5e-324,==319==    at 0x483E743: operator new[](unsigned long) (vg_replace_malloc.c:729) ==319==    by 0x1D8FF3: newlist (ComputeNonbondedUtil.h:51) ==319==    by 0x1D8FF3: ComputeNonbondedUtil::calc_self_energy(nonbonded*) (ComputeNonbondedBase.h:1099) ==319==    by 0x10B7C5: SelfCompute::doWork(PatchList*) (Compute.C:61) ==319==    by 0x10CAF8: ComputeList::runComputes(PatchList*) (ComputeList.C:72) ==319==    by 0x10AA13: main (spec_namd.C:189)
0x7102480,320130,18172,0,3.23786e-319,5e-324,==319==    at 0x483E743: operator new[](unsigned long) (vg_replace_malloc.c:729) ==319==    by 0x1D8FF3: newlist (ComputeNonbondedUtil.h:51) ==319==    by 0x1D8FF3: ComputeNonbondedUtil::calc_self_energy(nonbonded*) (ComputeNonbondedBase.h:1099) ==319==    by 0x10B7C5: SelfCompute::doWork(PatchList*) (Compute.C:61) ==319==    by 0x10CAF8: ComputeList::runComputes(PatchList*) (ComputeList.C:72) ==319==    by 0x10AA13: main (spec_namd.C:189)
